title;subject;date;short_text;type
Britain says Northern Irish parties running out of time to save devolution;worldnews;04-09-2017;BELFAST (Reuters) - Northern Ireland s political parties are rapidly running out of time to restore a devolved power-sharing government, Britain s minister for the region said on Monday, as he sought to avoid a return of direct rule from London. Irish nationalists Sinn Fein and the Democratic Unionist Party (DUP) have failed to reach agreement on reforming the devolved administration since its collapse in January, limiting Northern Ireland s influence in Brexit negotiations that could hurt it more than an other part of the United Kingdom.  Formal talks broke down in July and each has blamed the other for missing repeated deadlines.;True
U.S. Navy secretary says 'any patriot' should be able to serve;politicsNews;11-08-2017;WASHINGTON (Reuters) - U.S. Navy Secretary Richard V. Spencer said he would follow directions from the president on transgender people in the military but believes “any patriot” should be allowed to serve. Spencer, speaking to reporters on Thursday on a visit to Naval Station Norfolk in Virginia, said he would abide by any policy the Pentagon provides to the armed forces on the transgender issue. However, Spencer said he believes that, on a fundamental basis, “any patriot that wants to serve and meets all the requirements should be able to serve in our military,” according to news reports.;True
Catalonia asks Spain for dialogue as independence struggle intensifies;worldnews;15-09-2017;MADRID (Reuters) - Catalonian leaders on Friday appealed to the Spanish government for dialogue to avert an impending political crisis over a planned referendum on independence as Madrid took measures to stop state cash being used to fund the vote. Police also intervened to stop a meeting organized by a pro-independence Catalan party, the first public police crackdown on the process. The government of the wealthy northeastern region has pledged to hold a referendum on breaking away from Spain on Oct. 1 in defiance of Prime Minister Mariano Rajoy, who has declared the event illegal and is bringing the weight of the state to bear to prevent it.;True
Catalan election to return hung parliament: poll;worldnews;15-12-2017;MADRID (Reuters) - An election in Catalonia will fail to conclusively resolve a political crisis over an independence drive in the region, the final surveys before the Dec. 21 vote showed on Friday. The ballot will result in a hung parliament, a Metroscopia poll showed, with parties favoring unity with Spain tipped to gain a maximum of 62 seats and pro-secession factions 63, both short of a majority in the region s 135-seat legislature.  Spain s worst political crisis since its transition to democracy four decades ago erupted in October, when Madrid cracked down on an independence referendum it had declared illegal and took control of the wealthy northeastern region.;True
Factbox: Candidate platforms in Chile presidential runoff;worldnews;14-12-2017;SANTIAGO (Reuters) - Center-left Senator Alejandro Guillier and conservative billionaire Sebastian Pinera will go head to head in a runoff for Chile s presidency on Sunday, after securing the top two spots in the Nov. 19 first-round vote. There have been no major polls in the past month, leaving few indications of who will succeed outgoing center-left President Michelle Bachelet in the world s top copper producer. Below are the main proposals from both candidates:  - The former journalist, elected to the Senate in 2013, has promised to deepen the progressive tax, education and labor reforms of ideological ally Bachelet.;True
Trump ordered emergency meeting after global cyber attack: official;politicsNews;14-05-2017;WASHINGTON (Reuters) - U.S. President Donald Trump ordered his homeland security adviser, Tom Bossert, to hold an emergency meeting Friday night to assess the threat posed by a global computer ransomware attack in at least 150 countries, a senior administration official told Reuters. Senior security staff held another meeting in the White House Situation Room on Saturday, and the FBI and National Security Agency were trying to identify the perpetrators of the massive cyber attack, said the official, who spoke on condition on anonymity to discuss internal deliberations.;True
South Korea imposes sanctions on 18 North Koreans, a day before Trump visit;worldnews;06-11-2017;SEOUL (Reuters) - South Korea imposed unilateral sanctions on 18 North Koreans on Monday, barring any financial transactions between those sanctioned and any South Koreans, as part of international efforts to dry up Pyongyang s illegal cash flows. All 18 individuals on which the South Korean sanctions were imposed were directly affiliated to North Korean banks, according to an official government announcement by the finance minister uploaded on the Interior Ministry s website.  They are all people at North Korean financial institutions that have already been sanctioned by the United Nations,  a government official directly involved in the sanction development process told Reuters.;True
Senate panel sets November 28 confirmation hearing for Fed chair nominee Powell;politicsNews;09-11-2017;WASHINGTON (Reuters) - The U.S. Senate Banking Committee will hold a confirmation hearing on Nov. 28 for Jerome Powell, President Donald Trump’s nominee for chairman of the Federal Reserve, the committee said in a statement on Wednesday. Trump last week tapped Powell, 64, a Fed governor since 2012, to become head of the U.S. central bank, breaking with precedent by denying Janet Yellen a second four-year term but signaling a continuation of her cautious monetary policies. Powell is quickly garnering support from Republican lawmakers, including Senate Majority Leader Mitch McConnell, who met with Powell on Tuesday and said he looked forward to “supporting his nomination.”;True
New Zealand PM-designate confirms review of central bank act;worldnews;24-10-2017;SYDNEY (Reuters) - New Zealand prime minister-designate Jacinda Ardern said on Tuesday her new Labour-led government planned to review and reform the central bank act.  Labour has already said it wants to add employment to the Reserve Bank of New Zealand s mandate, alongside inflation, to give it a dual target. New Zealand First, the junior partner in the coalition government, also wants to broaden the central bank s focus to include greater management of the local dollar s value against other currencies.;True
Trump's tougher immigration policy extends to workers post-Harvey;politicsNews;01-09-2017;WASHINGTON (Reuters) - The Trump administration, in line with its tough immigration policy, is keeping red tape in place that could make it harder for immigrants in the aftermath of Hurricane Harvey to find jobs with contractors, a decision critics say is likely to slow the Gulf Coast’s recovery. In the aftermath of Hurricane Katrina in 2005, Republican President George W. Bush temporarily exempted employers hiring Katrina victims from verifying that new employees were authorized to work in the United States.  The 45-day suspension allowed survivors whose identification documents had been lost during the storm to work while awaiting new ones, but it also allowed undocumented immigrants to quickly find jobs with contractors.;True
Miami hospitals prepare for surge in births during Hurricane Irma;worldnews;08-09-2017;(Reuters) - While many Miami hospitals are shutting down as Hurricane Irma bears down on Florida, some are offering shelter to their pregnant patients, bracing for the increase in births that often accompanies these large storms. At least three of the city s hospitals have plans in place to care for women with advanced or high-risk pregnancies.  They could be busy.;True
Republican senator wants Democrats to testify on Trump dossier;politicsNews;29-10-2017;WASHINGTON (Reuters) - U.S. Senator Susan Collins, a Republican member of the Intelligence Committee, said Democrats should be called again to testify about reports that their party and Hillary Clinton’s presidential campaign paid for parts of a dossier that detailed accusations about President Donald Trump’s ties to Russia.  The Washington Post reported last week that Marc Elias, a lawyer for 2016 Democratic presidential candidate Clinton, used campaign funds to hire Fusion GPS, the firm behind the dossier. Committees in both chambers of Congress have been investigating the origin and contents of the document.;True
Democrats say gun defeat in Congress could help on campaign trail;politicsNews;23-06-2016;WASHINGTON (Reuters) - Democrats in Congress ended a 25-hour sit-in on the floor of the House of Representatives where they have been countless times before: short of the votes needed to tighten U.S. gun laws. But many see their latest defeat as a prelude to victory in the Nov. 8 elections. Spurred by the deadliest mass shooting in modern U.S. history, Democrats are showing a new willingness to make gun laws a top issue in Washington and on the campaign trail, defying powerful lobbying groups like the National Rifle Association that have helped make the United States the most gun-friendly country in the developed world.;True
The Adoration Of Kim Jong Un;worldnews;30-11-2017;PYONGYANG - North Koreans stage a demonstration of devotion to their leader Kim Jong Un at least once a year, in a large ceremonial square in Pyongyang.  Mansae!  the people call as they parade past the 33-year old, who stands on a balcony above them:  Live long!;True
Venezuela opposition won't attend scheduled talks with government;worldnews;26-09-2017;CARACAS (Reuters) - Venezuela s opposition said on Tuesday it will not join scheduled talks with President Nicolas Maduro s government, undercutting a dialogue effort that has been viewed with suspicion by many adversaries of the ruling Socialist Party. The government has eagerly promoted the talks amid global criticism that Maduro is turning the country into a dictatorship, while the opposition has always insisted the talks should not distract from the country s economic crisis.  The two sides held separate exploratory conversations with the president of the Dominican Republic earlier this month.;True
Trump wins Scottish golf course privacy rights case;politicsNews;05-04-2017;LONDON (Reuters) - A grandmother who had sued a luxury Scottish golf resort founded by U.S. President Donald Trump for breaching her privacy by photographing her urinating on the course, lost her case on Wednesday. Rohan Beyts, a long-term opponent of the Trump International Golf Links (TIGL) on the northeastern coast of Scotland, had sought 3,000 pounds ($3,745) in damages at the Edinburgh Sheriff Court over the incident last year which she said had left her shocked and upset. She claimed that by filming her, staff had breached data protection laws.;True
Argentina blocks some activists from attending WTO meeting;worldnews;30-11-2017;BUENOS AIRES (Reuters) - Argentina revoked the credentials of some activists who had been accredited by the World Trade Organization (WTO) to attend its ministerial meeting taking place in Buenos Aires next month, the foreign ministry and civil society groups said on Thursday. The 63 activists who had their accreditations rescinded were largely affiliated with the Our World Is Not for Sale network, said organizer Deborah James. The group opposes  corporate globalization  and has staged protests at previous WTO meetings.;True
